"","long","lat","group","order","region","subregion"
"51786",72.8116226196289,19.2989273071289,839,51786,"India",NA
"51794",72.6759796142578,19.7979488372803,839,51794,"India",NA
"51802",72.8138656616211,21.1171875,839,51802,"India",NA
"51810",72.7175750732422,21.55126953125,839,51810,"India",NA
"51818",72.64404296875,21.93798828125,839,51818,"India",NA
"51826",72.7019577026367,22.2636222839355,839,51826,"India",NA
"51834",72.2443389892578,22.0276374816895,839,51834,"India",NA
"51842",72.2566375732422,21.6612319946289,839,51842,"India",NA
"51850",70.7193374633789,20.7404289245605,839,51850,"India",NA
"51858",69.0087890625,22.19677734375,839,51858,"India",NA
"51866",69.5492172241211,22.4083976745605,839,51866,"India",NA
"51874",70.4404296875,22.9703121185303,839,51874,"India",NA
"51882",70.2511749267578,22.9708976745605,839,51882,"India",NA
"51890",68.6407241821289,23.18994140625,839,51890,"India",NA
"51898",68.4249038696289,23.70556640625,839,51898,"India",NA
"51906",68.4886703491211,23.9672355651855,839,51906,"India",NA
"51914",68.8283233642578,24.2640132904053,839,51914,"India",NA
"51922",69.5591812133789,24.2730960845947,839,51922,"India",NA
"51930",70.2890625,24.3562984466553,839,51930,"India",NA
"51938",70.7672805786133,24.2454109191895,839,51938,"India",NA
"51946",70.9732437133789,24.4874038696289,839,51946,"India",NA
"51954",70.8777313232422,25.06298828125,839,51954,"India",NA
"51962",70.505859375,25.685302734375,839,51962,"India",NA
"51970",70.1492156982422,26.3475589752197,839,51970,"India",NA
"51978",69.5069351196289,26.74267578125,839,51978,"India",NA
"51986",69.7248077392578,27.3126945495605,839,51986,"India",NA
"51994",70.4885787963867,28.0231437683105,839,51994,"India",NA
"52002",71.1847610473633,27.8316402435303,839,52002,"India",NA
"52010",72.17919921875,28.4217758178711,839,52010,"India",NA
"52018",73.2311477661133,29.5506362915039,839,52018,"India",NA
"52026",73.9333953857422,30.2220706939697,839,52026,"India",NA
"52034",74.38037109375,30.8934059143066,839,52034,"India",NA
"52042",74.5939407348633,31.4653797149658,839,52042,"India",NA
"52050",75.1387710571289,32.1047859191895,839,52050,"India",NA
"52058",74.7888717651367,32.4578132629395,839,52058,"India",NA
"52066",74.3545837402344,32.7686996459961,839,52066,"India",NA
"52074",74.0491180419922,33.1434059143066,839,52074,"India",NA
"52082",74.1312561035156,33.5450668334961,839,52082,"India",NA
"52090",74.2508773803711,33.9460945129395,839,52090,"India",NA
"52098",73.9382781982422,34.144775390625,839,52098,"India",NA
"52106",73.8831024169922,34.529052734375,839,52106,"India",NA
"52114",74.9518508911133,34.6458511352539,839,52114,"India",NA
"52122",75.9382858276367,34.612548828125,839,52122,"India",NA
"52130",76.7575225830078,34.8778305053711,839,52130,"India",NA
"52138",77.4234390258789,35.3025856018066,839,52138,"India",NA
"59375",79.8748092651367,9.05073261260986,952,59375,"Sri Lanka","Manar"
"59384",79.9068374633789,9.61982440948486,953,59384,"Sri Lanka","Jaffna"
"59393",79.9823226928711,9.81269550323486,954,59393,"Sri Lanka",NA
"59401",80.9354476928711,8.97148418426514,954,59401,"Sri Lanka",NA
"59409",81.333984375,8.47206974029541,954,59409,"Sri Lanka",NA
"59417",81.6829071044922,7.68447256088257,954,59417,"Sri Lanka",NA
"59425",81.7677764892578,6.61430644989014,954,59425,"Sri Lanka",NA
"59433",80.2673873901367,6.009765625,954,59433,"Sri Lanka",NA
"59441",79.7129898071289,8.18232440948486,954,59441,"Sri Lanka",NA
"59449",79.9436569213867,8.74116230010986,954,59449,"Sri Lanka",NA
"59457",80.1960906982422,9.53813457489014,954,59457,"Sri Lanka",NA
"59465",79.9794921875,9.69936561584473,954,59465,"Sri Lanka",NA
"60708",73.3953170776367,3.22939467430115,968,60708,"Maldives","1"
"60717",73.51220703125,4.16455078125,969,60717,"Maldives","2"
